Sub-Category ,Product_Name,Model_Number,Size,Power_W,Voltage,CCT,CRI_RA,Lumen,Efficacy_Lumen_per_W,Dimming_Type,Material_Finish,Sensors_and_Controls,Occupancy,Bi_Level,PIR_Microwave_Bluetooth,Remote Control,Plugin _Sensor,Emergency_Backup_Battery,Junction_Cover,Mounting,Installation_Kits,Adjustment_Dial,Certifications,Price_per_Piece,Lead_Time,Cut_Sheet,Warranty,MOQ,COST_China_DDP_USA,COST_Thailand_Vietnam,Photo,IP_Rating
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23003,"14""",12/16/22W,AC120V,"2.7-5k, Tunable",80,1650lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,B-Level,no,yes,"PIR,Microwave,Bluetooth",,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$9.40 (Ningbo),$11.06,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23004,16'',16/22/30W,AC120V,"2.7-5k, Tunable",80,2250lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,No,,,,,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$8.20 (Ningbo),$9.65,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23004,16'',16/22/30W,AC120V,"2.7-5k, Tunable",80,2250lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,B-Level,no,yes,"PIR,Microwave,Bluetooth",,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$8.20 (Ningbo),$9.65,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23005,18'',22/30/36W,AC120V,"2.7-5k, Tunable",80,2700lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,No,,,,,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$9.40 (Ningbo),$11.06,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,FXF23005,18'',22/30/36W,AC120V,"2.7-5k, Tunable",80,2700lm,100lm/w  75lm/w,Triac,Brush Nickel/Metal,B-Level,no,yes,"PIR,Microwave,Bluetooth",,,,,Surface,,,ETL,,75 days,https://drive.google.com/file/d/1YAiWD2O-dyXLp8q6CwM4usEu2_MSVSY7/view?usp=drive_link,5 Yr,"5,000",$9.40 (Ningbo),$11.06,https://drive.google.com/file/d/1w_zTun0PWcXvB0SWsONtUQcs8Kv-4sWd/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,no,no ,no,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,no,yes,no ,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,no,no ,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,yes,no ,no,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,no,yes,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,yes,yes,no,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,yes,no ,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,no,,,,yes,yes,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",no,no ,no,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",no,yes,no ,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",no,no ,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",yes,no ,no,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",no,yes,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",yes,yes,no,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
LED Flush Mount Light,LED Double Ring Ceiling Light,DM-CL10IN16W5CCT,10'',16W,AC120V,"2.7-5k, Tunable",80,1120lm,70lm/w,Triac,Brush Nickel/Metal,B-Level,,yes,"PIR,Microwave,Bluetooth",yes,no ,yes,,Surface,,,ETL T24,,75 days,https://drive.google.com/file/d/1IjSMBWujd7BkgZvzmfSjgLYArSJZYIVy/view?usp=drive_link,5 Yr,"2,000",,,https://drive.google.com/file/d/1HAQ1Iucv7BC33ha5qeNLEMKZjthzdT4j/view?usp=sharing,
